district,block_name,source_url,source_path,source_sha256,directory_reported_blocks,enumerated_blocks_on_page,historical_boundary_status,election_source_coverage
Aligarh,Akrabad,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Atrauli,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Bijauli,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Chandaus,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Dhanipur,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Gangiri,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Gonda,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Iglas,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Jawan Sikanderpur,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
Aligarh,Khair,https://igod.gov.in/index.php/district/-jg3tXQBW7DqAzx4Vrqs/blocks,data/discovery/2026-09-10/archive_coverage/district_sweep/raw/7f570064b9c41e01e18a_3d4c82c263b6.html,3d4c82c263b61a3cede5e3498715e77efec44a3bd34c6791058e1c519c2a30b3,12,12,not_reconciled,not_established
