elex_district,elex_block,lgd_district,lgd_block_name,lgd_block_code,match_type
Agra,Achnera,Agra,Achhnera,1386,spelling
Agra,Akolaa,Agra,Akola,1387,spelling
Agra,Bah,Agra,Bah,1388,exact
Agra,Baroli Ahir,Agra,Barauli Ahir,1389,spelling
Agra,Bichpuri,Agra,Bichpuri,1390,exact
Agra,Etmaadpur,Agra,Etmadpur,1391,spelling
Agra,Fatehabad,Agra,Fatehabad,1392,exact
Agra,Fatehpur Seekri,Agra,Fatehpur Sikri,1393,spelling
Agra,Jagner,Agra,Jagner,1394,exact
Agra,Jaitpur Kalan,Agra,Jaitpur Kalan,1395,exact
Agra,Khandoli,Agra,Khandauli,1396,spelling
Agra,Kheragarh,Agra,Kheragarh,1397,exact
Agra,Pinahat,Agra,Pinahat,1398,exact
Agra,Shamshabaad,Agra,Shamsabad,1400,spelling
Allahabad,Bahadurpur,Prayagraj,Bahadurpur,1413,exact
Allahabad,Baharia,Prayagraj,Bahria,1414,spelling
Allahabad,Chaka,Prayagraj,Chaka,1415,exact
Allahabad,Dhanupur,Prayagraj,Dhanupur,1416,exact
Allahabad,Handiya,Prayagraj,Handia,1417,spelling
Allahabad,Holagarh,Prayagraj,Holagarh,1418,exact
Allahabad,Jasra,Prayagraj,Jasra,1419,exact
Allahabad,Karachna,Prayagraj,Karchhana,1420,spelling
Allahabad,Kaudhiyara,Prayagraj,Kaudhiyara,1421,exact
Allahabad,Kaudihar,Prayagraj,Kaurihar,1422,spelling
Allahabad,Koraon,Prayagraj,Koraon,1423,exact
Allahabad,Manda,Prayagraj,Manda,1424,exact
Allahabad,Mau Aima,Prayagraj,Mauaima,1425,spelling
Allahabad,Meja,Prayagraj,Meja,1426,exact
Allahabad,Phoolpur,Prayagraj,Phulpur,1427,spelling
Allahabad,Pratapur,Prayagraj,Pratappur,1428,spelling
Allahabad,Saidabad,Prayagraj,Saidabad,1429,exact
Allahabad,Shankaragarh,Prayagraj,Shankargarh,1430,spelling
Allahabad,Sorav,Prayagraj,Soraon,1431,spelling
Allahabad,Uruwa,Prayagraj,Uruwan,1432,spelling
Ambedkar Nagar,Akbarpur,Ambedkar Nagar,Akbarpur,1433,exact
Ambedkar Nagar,Basakhari,Ambedkar Nagar,Baskhari,1434,spelling
Ambedkar Nagar,Bhiti,Ambedkar Nagar,Bhiti,1435,exact
Ambedkar Nagar,Jahangirganj,Ambedkar Nagar,Jahangir Ganj,1437,spelling
Ambedkar Nagar,Jalalpur,Ambedkar Nagar,Jalal Pur,1438,spelling
Ambedkar Nagar,Katehri,Ambedkar Nagar,Katehari,1439,spelling
Ambedkar Nagar,Miyan,Ambedkar Nagar,Bhiyawan,1436,alt_name
Ambedkar Nagar,Ramnagar,Ambedkar Nagar,Ram Nagar,1440,spelling
Ambedkar Nagar,Tanda,Ambedkar Nagar,Tanda,1441,exact
Auraiya,Achhaldaa,Auraiya,Achchalda,1442,spelling
Auraiya,Ajitmal,Auraiya,Ajitmal,1443,exact
Auraiya,Auraiya,Auraiya,Auraiya,1444,exact
Auraiya,Bhagyanagar,Auraiya,Bhagyanagar,1445,exact
Auraiya,Eva Katra,Auraiya,Erwa Katra,1447,spelling
Auraiya,Sahar,Auraiya,Sahar,1448,exact
Auraiya,Vidhuna,Auraiya,Bidhuna,1446,spelling
Bagpat,Bagpat,Baghpat,Baghpat,1471,spelling
Bagpat,Baraut,Baghpat,Baraut,1472,exact
Bagpat,Binauli,Baghpat,Binauli,1473,exact
Bagpat,Chhaparauli,Baghpat,Chhaprauli,1474,spelling
Bagpat,Khekhada,Baghpat,Khekra,1475,spelling
Bagpat,Pilana,Baghpat,Pilana,1476,exact
Bahraich,Balha,Bahraich,Balaha,1477,spelling
Bahraich,Fakhrpur,Bahraich,Phakharpur,1485,spelling
Bahraich,Huzurpur,Bahraich,Huzoorpur,1479,spelling
Bahraich,Jarwal,Bahraich,Jarwal,1480,exact
Bahraich,Kaiserganj,Bahraich,Kaisarganj,1481,spelling
Bahraich,Mahsi,Bahraich,Mahasi,1482,spelling
Bahraich,Mihipurwa,Bahraich,Mihinpurwa,1483,spelling
Bahraich,Nawabganj,Bahraich,Nawabganj,1484,exact
Bahraich,Prayagpur,Bahraich,Prayagpur,1486,exact
Bahraich,Risia,Bahraich,Risia,1487,exact
Bahraich,Shivpur,Bahraich,Shivpur,1488,exact
Bahraich,Tajwapur,Bahraich,Tajwapur,1489,exact
Bahraich,Visheshwarganj,Bahraich,Visheshwarganj,1490,exact
Baliya,Baasadeeh,Ballia,Bansdih,1492,spelling
Baliya,Bairiya,Ballia,Bairia,1491,spelling
Baliya,Belhari,Ballia,Belhari,1493,exact
Baliya,Berua Bari,Ballia,Beruarbari,1494,spelling
Baliya,Chilakhar,Ballia,Chilkahar,1495,spelling
Baliya,Gadwar,Ballia,Garwar,1497,spelling
Baliya,Hanumanganj,Ballia,Hanumanganj,1498,exact
Baliya,Maniyar,Ballia,Maniar,1499,spelling
Baliya,Murli Chappa,Ballia,Murlichhapra,1500,spelling
Baliya,Nagra,Ballia,Nagra,1501,exact
Baliya,Nawanagar,Ballia,Navanagar,1502,spelling
Baliya,Pandah,Ballia,Pandah,1503,exact
Baliya,Rasra,Ballia,Rasra,1504,exact
Baliya,Revti,Ballia,Reoti,1505,spelling
Baliya,Sier,Ballia,Siar,1506,spelling
Baliya,Sohaon,Ballia,Sohanv,1507,spelling
Balrampur,Balrampur,Balrampur,Balrampur,1508,exact
Balrampur,Gaidas Buzurg,Balrampur,Gaindas Bujurg,1509,spelling
Balrampur,Gainsadi,Balrampur,Gaisri,1510,spelling
Balrampur,Hariya Satgharwa,Balrampur,Harriya Satgharwa,1511,spelling
Balrampur,Pachpedwa,Balrampur,Pachpedwa,1512,exact
Balrampur,Rehra Bazar,Balrampur,Rehera Bazaar,1513,spelling
Balrampur,Shridattganj,Balrampur,Shriduttganj,1514,spelling
Balrampur,Tulsipur,Balrampur,Tulsipur,1515,exact
Balrampur,Utraula,Balrampur,Utraula,1516,exact
Banda,Baberu,Banda,Baberu,1517,exact
Banda,Badokhar Khurd,Banda,Badokhar Khurd,1518,exact
Banda,Bissanda,Banda,Bisanda,1519,spelling
Banda,Jaspura,Banda,Jaspura,1520,exact
Banda,Kamasin,Banda,Kamasin,1521,exact
Banda,Mahua,Banda,Mahuva,1522,spelling
Banda,Narani,Banda,Naraini,1523,spelling
Banda,Tindwaari,Banda,Tindwari,1524,spelling
Barabanki,Banikoder,Barabanki,Bani Kodar,1525,spelling
Barabanki,Banki,Barabanki,Banki,1526,exact
Barabanki,Dariyabad,Barabanki,Dariyabad,1527,exact
Barabanki,Dewan,Barabanki,Dewa,1528,spelling
Barabanki,Haidarganj,Barabanki,Haidargarh,1530,spelling
Barabanki,Harakh,Barabanki,Harakh,1531,exact
Barabanki,Nindur,Barabanki,Nindaura,1533,spelling
Barabanki,Puredlai,Barabanki,Puredalai,1534,spelling
Barabanki,Ramnagar,Barabanki,Ramnagar,1535,exact
Barabanki,Siddhaur,Barabanki,Sidhaur,1537,spelling
Barabanki,Sirauli Gauspur,Barabanki,Sirauli Gauspur,1538,exact
Barabanki,Suratganj,Barabanki,Suratganj,1539,exact
Barabanki,Trivediganj,Barabanki,Trivediganj,1540,exact
Barabanki,masauli,Barabanki,Masauli,1532,spelling
Bareilly,Alampur Jafrabaad,Bareilly,Aalampur Jafarabad,1541,spelling
Bareilly,Bahedi,Bareilly,Baheri,1542,spelling
Bareilly,Bhadpura,Bareilly,Bhadpura,1543,exact
Bareilly,Bhojipura,Bareilly,Bhojipura,1544,exact
Bareilly,Bhuta,Bareilly,Bhuta,1545,exact
Bareilly,Damkhoda,Bareilly,Damkhauda,1547,spelling
Bareilly,Faridpur,Bareilly,Faridpur,1548,exact
Bareilly,Fatehganj ( P O ),Bareilly,Fatehganj West,1549,spelling
Bareilly,Kyara,Bareilly,Kyara,1550,exact
Bareilly,Majhgawan,Bareilly,Majhgawan,1551,exact
Bareilly,Mirganj,Bareilly,Mirganj,1552,exact
Bareilly,Nawabganj,Bareilly,Nawabganj,1553,exact
Bareilly,Ramnagar,Bareilly,Ramnagar,1554,exact
Bareilly,Shergarh,Bareilly,Shergarh,1555,exact
Bareilly,Vithri,Bareilly,Bithiri Chainpur,1546,alt_name
Basti,Bahadurpur,Basti,Bahadurpur,1556,exact
Basti,Bankati,Basti,Bankati,1557,exact
Basti,Basti,Basti,Basti,1558,exact
Basti,Bikramjot,Basti,Vikram Jot,1569,spelling
Basti,Dubaulia,Basti,Dubauliya,1559,spelling
Basti,Gour,Basti,Gaur,1560,spelling
Basti,Hareya,Basti,Harraiya,1561,spelling
Basti,Kaptaiganj,Basti,Kaptanganj,1562,spelling
Basti,Kudrah,Basti,Kudaraha,1563,spelling
Basti,Parsrampur,Basti,Paras Rampur,1564,spelling
Basti,Ramnagar,Basti,Ramnagar,1565,exact
Basti,Raudhauli,Basti,Rudauli,1566,spelling
Basti,Saltoya Gopalpur,Basti,Saltaua Gopal Pur,1567,spelling
Basti,Saugahat,Basti,Sau Ghat,1568,spelling
Bijnaur,Afzalgarah,Bijnor,Afzalgarh,1570,spelling
Bijnaur,Alhaipur,Bijnor,Jalilpur,1574,alt_name
Bijnaur,Haldaur,Bijnor,Haldaur(Khari Jhalu),1573,spelling
Bijnaur,Jalilpur,Bijnor,Jalilpur,1574,exact
Bijnaur,Kiratpur,Bijnor,Kiratpur,1575,exact
Bijnaur,Kotwali,Bijnor,Kotwali,1576,exact
Bijnaur,Mau Pur Devmal,Bijnor,Mohammedpur Deomal,1577,spelling
Bijnaur,Nahatour,Bijnor,Nehtaur,1579,spelling
Bijnaur,Najibabad,Bijnor,Najibabad,1578,exact
Bijnaur,Noorpur,Bijnor,Noorpur,1580,exact
Bijnaur,Syohara,Bijnor,Budhanpur Seohara,1571,alt_name
Budaun,Aasfpur,Budaun,Asafpur,1582,spelling
Budaun,Ambiyapur,Budaun,Ambiapur,1581,spelling
Budaun,Bisauli,Budaun,Bisauli,1583,exact
Budaun,Dahagawa,Budaun,Dahgavan,1584,spelling
Budaun,Dataganj,Budaun,Dataganj,1585,exact
Budaun,Gunnaur,Sambhal,Gunnaur,1586,cross_dist
Budaun,Islamnagar,Budaun,Islamnagar,1587,exact
Budaun,Jagat,Budaun,Jagat,1588,exact
Budaun,Junawai,Sambhal,Junawai,1589,cross_dist
Budaun,Myau,Budaun,Mion,1590,spelling
Budaun,Salarpur,Budaun,Salarpur,1594,exact
Budaun,Samarer,Budaun,Samrer,1595,spelling
Budaun,Ujhani,Budaun,Ujhani,1596,exact
Budaun,Usawan,Budaun,Usawan,1597,exact
Budaun,Wazirganj,Budaun,Wazirganj,1598,exact
Bulandshahr,Agauta,Bulandshahr,Agauta,1599,exact
Bulandshahr,Anupshahr,Bulandshahr,Anupshahr,1600,exact
Bulandshahr,Arniyaan,Bulandshahr,Araniya,1601,spelling
Bulandshahr,B. B. Nagar,Bulandshahr,Bhawan Bahadur Nagar,1602,spelling
Bulandshahr,Bulandshahr,Bulandshahr,Bulandshahr,1603,exact
Bulandshahr,Danpur,Bulandshahr,Danpur,1604,exact
Bulandshahr,Dibai,Bulandshahr,Dibai,1605,exact
Bulandshahr,Gulawati,Bulandshahr,Gulaothi,1606,spelling
Bulandshahr,Jahangirabad,Bulandshahr,Jahangirabad,1607,exact
Bulandshahr,Khujra,Bulandshahr,Khurja,1608,spelling
Bulandshahr,Lakhauti,Bulandshahr,Lakhaothi,1609,spelling
Bulandshahr,Pahasu,Bulandshahr,Pahasu,1610,exact
Bulandshahr,Shikarpur,Bulandshahr,Shikarpur,1611,exact
Bulandshahr,Sikandrabad,Bulandshahr,Sikandrabad,1612,exact
Bulandshahr,Siyana,Bulandshahr,Syana,1613,spelling
Bulandshahr,Unchagaon,Bulandshahr,Unchagaon,1614,exact
Chandauli,Barhani,Chandauli,Berahani,1615,spelling
Chandauli,Chahniya,Chandauli,Chahniya,1616,exact
Chandauli,Chakia,Chandauli,Chakiya,1617,spelling
Chandauli,Dhanapur,Chandauli,Dhanapur,1619,exact
Chandauli,Naugadh,Chandauli,Naugarh,1620,spelling
Chandauli,Niyamatabad,Chandauli,Niyamatabad,1621,exact
Chandauli,Sakaldeeha,Chandauli,Sakaldiha,1623,spelling
Chandauli,Shahababganj,Chandauli,Sahabganj,1622,spelling
Chitrakoot,Karwi (Chitrakoot),Chitrakoot,Karwi,1624,spelling
Chitrakoot,Manikpur,Chitrakoot,Manikpur,1625,exact
Chitrakoot,Mau,Chitrakoot,Mau,1626,exact
Chitrakoot,Pahadi,Chitrakoot,Pahari,1627,spelling
Chitrakoot,Ramnagar,Chitrakoot,Ramnagar,1628,exact
Faizabad,Amaniganj,Ayodhya,Amaniganj,1668,exact
Faizabad,Bikapur,Ayodhya,Bikapur,1669,exact
Faizabad,Haringtonganj,Ayodhya,Haringatanganj,1670,spelling
Faizabad,Masaudha,Ayodhya,Masodha,1671,spelling
Faizabad,Mayabazar,Ayodhya,Maya Bazar,1673,spelling
Faizabad,Milkipur,Ayodhya,Milkipur,1674,exact
Faizabad,Puraabaajaar,Ayodhya,Pura Bazar,1675,spelling
Faizabad,Sohawal,Ayodhya,Sohawal,1676,exact
Faizabad,Taroon,Ayodhya,Tarun,1677,spelling
Fatehpur,Airayan,Fatehpur,Airayan,1685,exact
Fatehpur,Amauli,Fatehpur,Amauli,1686,exact
Fatehpur,Asothar,Fatehpur,Asothar,1687,exact
Fatehpur,Bahua,Fatehpur,Bahua,1688,exact
Fatehpur,Bhitaura,Fatehpur,Bhitaura,1689,exact
Fatehpur,Devmai,Fatehpur,Devmai,1690,exact
Fatehpur,Dhata,Fatehpur,Dhata,1691,exact
Fatehpur,Haswa,Fatehpur,Haswa,1692,exact
Fatehpur,Hatgham,Fatehpur,Hathgaon,1693,spelling
Fatehpur,Khajooha,Fatehpur,Khajuha,1694,spelling
Fatehpur,Malwan,Fatehpur,Malwan,1695,exact
Fatehpur,Teliani,Fatehpur,Telyani,1696,spelling
Fatehpur,Vijayipur,Fatehpur,Vijayipur,1697,exact
Firozabad,Aaraon,Firozabad,Araon,1698,spelling
Firozabad,Eka,Firozabad,Eka,1699,exact
Firozabad,Firozabad,Firozabad,Firozabad,1700,exact
Firozabad,Hathwant,Firozabad,Hathwant,1701,exact
Firozabad,Jasrana,Firozabad,Jasrana,1702,exact
Firozabad,Madanpur,Firozabad,Madanpur,1703,exact
Firozabad,Narkhi,Firozabad,Narkhi,1704,exact
Firozabad,Shikohabad,Firozabad,Shikohabad,1705,exact
Firozabad,Tundla,Firozabad,Tundla,1706,exact
Gautam Buddha Nagar,Dadri,Gautam Buddha Nagar,Dadri,1708,exact
Gautam Buddha Nagar,Dankaur,Gautam Buddha Nagar,Dadri,1708,alt_name
Gautam Buddha Nagar,Jewar,Gautam Buddha Nagar,Jewar,1710,exact
Gautam Buddha Nagar,Visarkh,Gautam Buddha Nagar,Bisrakh,1707,spelling
Ghaziabad,Bhojpur,Ghaziabad,Bhojpur,1711,exact
Ghaziabad,Dhaulana,Hapur,Dhaulana,1712,cross_dist
Ghaziabad,Garhmukteshwar,Hapur,Garh Mukteshwar,1713,cross_dist
Ghaziabad,Hapur,Hapur,Hapur,1714,cross_dist
Ghaziabad,Loni,Ghaziabad,Loni,1715,exact
Ghaziabad,Muradnagar,Ghaziabad,Muradnagar,1716,exact
Ghaziabad,Rajapur,Ghaziabad,Rajapur,1717,exact
Ghaziabad,Simbhavli,Hapur,Simbhawali,1718,cross_dist
Ghazipur,Barachwar,Ghazipur,Varachakwar,1732,spelling
Ghazipur,Bhadaura,Ghazipur,Bhadaura,1719,exact
Ghazipur,Bhavarankol,Ghazipur,Bhanwarkol,1720,spelling
Ghazipur,Jakhniya,Ghazipur,Jakhania,1723,spelling
Ghazipur,Jamaniya,Ghazipur,Zamania,1734,spelling
Ghazipur,Karanda,Ghazipur,Karanda,1724,exact
Ghazipur,Kasimabad,Ghazipur,Kasimabad,1725,exact
Ghazipur,Manihari,Ghazipur,Manihari,1726,exact
Ghazipur,Mardan,Ghazipur,Mardah,1727,spelling
Ghazipur,Muhammadabad,Ghazipur,Mohammadabad,1728,spelling
Ghazipur,Revatipur,Ghazipur,Revatipur,1729,exact
Ghazipur,Sadaat,Ghazipur,Sadat,1730,spelling
Ghazipur,Sadar,Ghazipur,Ghazipur,1722,alt_name
Ghazipur,Saidpur,Ghazipur,Saidpur,1731,exact
Ghazipur,Virano,Ghazipur,Virno,1733,spelling
Gonda,Belasar,Gonda,Belsar,1736,spelling
Gonda,Bhabha njot,Gonda,Babhanjot,1735,spelling
Gonda,Chhapia,Gonda,Chhapia,1737,exact
Gonda,Etiyathok,Gonda,Itiathok,1740,spelling
Gonda,Haladharamuu,Gonda,Haldharmau,1739,spelling
Gonda,Jhanjhari,Gonda,Jhanjhari,1741,exact
Gonda,Karnailganj,Gonda,Colonelganj,1738,alt_name
Gonda,Katra Bazar,Gonda,Katra Bazar,1742,exact
Gonda,Manakapur,Gonda,Mankapur,1743,spelling
Gonda,Mujehana,Gonda,Mujehana,1744,exact
Gonda,Nawabganj,Gonda,Nawabganj,1745,exact
Gonda,Pandri Kripal,Gonda,Pandri Kripal,1746,exact
Gonda,Parsapur,Gonda,Paraspur,1747,spelling
Gonda,Rupaidih,Gonda,Rupaideeh,1748,spelling
Gonda,Tarabganj,Gonda,Tarabganj,1749,exact
Gonda,Wazirganj,Gonda,Wazirganj,1750,exact
Gorakhpur,Barhalganj,Gorakhpur,Barhalganj,1752,exact
Gorakhpur,Belghat,Gorakhpur,Belghat,1753,exact
Gorakhpur,Bosagaon,Gorakhpur,Bansgaon,1751,spelling
Gorakhpur,Brahmpur,Gorakhpur,Brahmpur,1755,exact
Gorakhpur,Campier,Gorakhpur,Campierganj,1756,spelling
Gorakhpur,Chargaawon,Gorakhpur,Chargawan,1757,spelling
