source_sha256,source_page,block,printed_serial,ward,category,woman_reserved,split,review_method
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,23,11,BCW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,24,13,BCW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,25,15,BCW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,26,27,BCW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,27,29,BCW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,28,41,BCW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,29,22,BC,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,30,26,BC,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,31,30,BC,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,32,32,BC,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,3,Sarwankhera,33,36,BC,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,45,24,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,46,35,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,47,44,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,48,50,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,49,56,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,50,57,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,51,66,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,52,70,URW,1,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,53,1,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,54,4,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,5,Sarwankhera,55,9,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,67,55,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,68,59,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,69,60,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,70,63,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,71,67,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,72,68,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,73,71,UR,0,diagnose,Codex visual source transcription; single reviewer
ccfa9cd01662df22773fffc808346570229c252b54f70b9f1ab48e63362aae12,7,Sarwankhera,74,73,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,56,31,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,57,38,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,58,40,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,59,44,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,60,45,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,61,46,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,62,50,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,63,53,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,64,54,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,65,55,UR,0,diagnose,Codex visual source transcription; single reviewer
b0af3d503dca99984dbb5ff902e9b6656d4500c458d7d6c9ca2442b3e129aa54,6,Akbarpur,66,56,UR,0,diagnose,Codex visual source transcription; single reviewer
b93352f41330658c9be3f13a2d1f32b96ce94ebe87f62cd0902d3bdd1e68dd6f,6,Rajpur,62,61,UR,0,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,29,104,SC,0,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,30,107,SC,0,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,31,116,SC,0,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,32,8,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,33,27,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,34,29,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,35,40,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,36,41,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,37,45,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,38,57,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,39,69,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,40,84,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,41,100,BCW,1,diagnose,Codex visual source transcription; single reviewer
e99f3182ef067c8debe8d53ce357def5f8a985f87b061a80304c09aa2ccd3f17,3,Rasulabad,42,105,BCW,1,diagnose,Codex visual source transcription; single reviewer
