hindi,eng
बहजोई,Bahjoi
पूरनपुर,Puranpur
नानौता,Nanauta
फखरपुर,Fakharpur
सिरौलीगौसपुर,Sirauli Gaospur
सिसवा बाजार,Siswa Bazar
लक्ष्मीपुर,Lakshmipur
देसही देवरिया,Desahi Deoria
मनिहारी,Manihari
शाहगंज सोधी,Shahganj Sodhi
हसायन,Hasayan
कुरारा,Kurara
धाता,Dhata
हथगाम,Hathgam
सरोजनीनगर,Sarojini Nagar
रेउसा,Reusa
नकहा,Nakha
बघौली,Baghauli
नौतनवा,Nautanwa
तरकुलवा,Tarkulwa
सिरकोनी,Sirkoni
रामपुर मनिहारन,Rampur Maniharan
साढौली कदीम,Sadholi Kadim
देवबन्द,Deoband
मुजफराबाद,Muzaffarabad
सरसावा,Sarasawa
नकुड,Nakur
पूवारंका,Puranka
गंगोह,Gangoh
बलियाखेडी,Ballyakhedi
नागल,Nagal
बघरा,Baghra
पुरकाजी,Purkaji
खतौली,Khatauli
मोरना,Morna
थाना,Thana
जानसठ,Jansath
बुढाना,Budhana
शाहपुर,Shahpur
सदर,Sadar
शामली,Shamli
ऊन,Un
चरथावल,Charathawal
कांधला,Kandla
जानी खुर्द,Jani Khurd
रोहटा,Rohta
दौराला,Daurala
रजपुरा,Rajpura
खरखौदा,Kharkhauda
मवाना,Mawana
हस्तिनापुर,Hastinapur
सरधना,Sardhana
सरूरपुर खुर्द,Sarurpur Khurd
माछरा,Machhra
परीक्षितगढ,Parikshitgarh
खेकडा,Khekda
पिलाना,Pilana
बडौत,Baraut
छपरौली,Chaprauli
बिनौली,Binauli
बागपत,Baghpat
लौनी,Loni
धौलाना,Dhaulana
मुरादनगर,Muradnagar
हापुड,Hapur
रजापुर,Rajapur
गढ़मुक्तेश्वर,Garhmukteshwar
भोजपुर,Bhojpur
सिम्भावली,Simbhawali
विसरख,Bisrakh
दादरी,Dadri
जेवर,Jewar
दनकौर,Dankaur
लखावटी,Lakhawati
पहासू,Pahasu
अनूपशहर,Anupshahr
शिकारपुर,Shikarpur
स्याना,Siyana
अरनियां,Arnia
डिबाई,Dibai
खुर्जा,Khujra
सिकन्द्राबाद,Sikandrabad
बी . बी . नगर,B. B. Nagar
ऊँचागाँव,Unchagaon
जहांगीराबाद,Jahangirabad
दानपुर,Danpur
बुलन्दशहर,Bulandshahr
गुलावटी,Gulaothi
अगौता,Agota
नूरपुर,Noorpur
कोतवाली,Kotwali
अफजलगढ,Afzalgarh
नहटौर,Nahatour
किरतपुर,Kiratpur
मौ ० पुर देवमल,Mau Pur Devmal
नजीबाबाद,Najibabad
हल्दौर,Haldaur
जलीलपुर,Jalilpur
स्योहारा,Syohara
अल्हैपुर,Alhaipur
अमरोहा,Amroha
गजरौला,Gajraula
गंगेश्वरी,Gangeshwari
धनौरा,Dhanaura
हसनपुर,Hasanpur
जोया,Joya
बिलारी,Bilari
भगतपुर,Bhagatpur
ठाकुरद्वारा,Thakurdwara
सम्भल,Sambhal
मुरादाबाद,Moradabad
डिलारी,Dilari
डींगरपुर (कुन्दरकी ),Dingarpur (Kundarki)
पंवासा,Pawasa
मुढा पाण्डेय,Mudha Pandey
असमोली,Asamoli
छजलैट,Chhajlet
बिलासपुर,Bilaspur
चमरव्वा,Chamaraua
सैदनगर,Saidnagar
मिलक,Milak
क्यारा,Kyara
भोजीपुरा,Bhojipura
विथरी,Withri
बहेड़ी,Bahedi
शेरगढ़,Shergarh
दमखोदा,Damkhoda
फरीदपुर,Faridpur
भुता,Bhuta
नवाबगंज,Nawabganj
मीरगंज,Mirganj
फतेहगंज ( प O ),Fatehganj (P.O.)
आलमपुर जाफराबाद,Alampur Jafarabad
मझगवां,Majhgawan
बीसलपुर,Bisalpur
बिलसण्डा,Bilsanda
मरौरी,Marori
बरखेड़ा,Barkhera
अमरिया,Amariya
ललौरी खेड़ा,Lalori Khera
मदनापुर,Madanpur
ददरौल,Dadraul
काँट,Kant
भावलखेड़ा,Bhaval Kheda
जलालाबाद,Jalalabad
मिर्जापुर,Mirzapur
कलान,Kalan
सिंधौली,Sindhauli
वण्डा,Wanda
खुटार,Khutar
पुवाया,Puwaya
कटरा - खुदागंज,Katra Khudaganj
जैतीपुर,Jaitipur
निगोंही,Nigohi
तिलहर,Tilhar
जगत,Jagat
वजीरगंज,Wazirganj
बिसौली,Bisouli
म्याऊँ,Mau
अम्बियापुर,Ambiyapur
इस्लामनगर,Islamnagar
उझानी,Ujhani
समरेर,Samrer
सालारपुर,Salarpur
गुन्नौर,Gunnaur
दहगवाँ,Dahgawan
दातागंज,Dataganj
आसफपुर,Asafpur
सहसवान,Sahaswan
उसावाँ,Usawa
लोधा,Lodha
बिजौली,Bijouli
टप्पल,Tappal
गोंडा,Gonda
गंगोरी,Gangori
खैर,Khair
इगलास,Iglas
धनीपुर,Dhanipur
अतरौली,Atrauli
चण्डौस,Chandaus
अकराबाद,Akrabad
जवां,Jawan
हाथरस,Hathras
सासनी,Sasni
सिकन्दराराऊ,Sikandra Rao
मुरसान,Mursan
सादाबाद,Sadabad
सहपऊ,Sahpau
मथुरा,Mathura
गोवर्धन,Goverdhan
बल्देव,Baldev
फरह,Farah
चौमुहाँ,Chaumuhan
छाता,Chhata
नन्दगाँव,Nandgaon
माट,Mat
नौहझील,Naujheel
राया,Raya
एत्मादपुर,Etmadpur
खन्दौली,Khandoli
अकोला,Akola
बिचपुरी,Bichpuri
बरौली अहीर,Baroli Ahir
फतेहपुर सीकरी,Fatehpur Sikri
अछनेरा,Achnera
खेरागढ़,Kheragarh
जगनेर,Jagner
शमशाबाद,Shamshabad
फतेहाबाद,Fatehabad
बाह,Bah
पिनाहाट,Pinahat
जैतपुर कलाँ,Jaitpur Kalan
एका,Eka
अरांव,Araon
नारखी,Narkhi
मदनपुर,Madanpur
हाथवन्त,Hathwant
शिकोहाबाद,Shikohabad
फिरोजाबाद,Firozabad
टूण्डला,Tundla
मैनपुरी,Mainpuri
घिरोर,Ghiror
कुरावली,Kurawali
बेबर,Bebar
अहीर,Aheer
जागीर,Jagir
सुल्तानगंज,Sultanganj
करहल,Karhal
बरनाहल,Barnahal
मारहरा,Marhara
सकीट,Sakit
अवागढ़,Awagarh
शीतलपुर,Sheetalpur
निधौली कलॉ,Nidholi Kala
जलेसर,Jalesar
जैथरा,Jaithara
अलीगंज,Aliganj
पटियाली,Patiyali
गंजडुण्डवारा,Ganj Dundwara
सिढ़पुरा,Sidhipura
कासगंज,Kasganj
सोरों,Sorons
अमांपुर,Amanpur
सहावर,Sahawar
बढ . पुर,Bad. Pura
कायमगंज,Kayamganj
राजेपुर,Rajepur
कमालगंज,Kamalganj
मोहम्मदाबाद,Mohammadabad
कन्नौज,Kannauj
तालाम,Talam
छिबरामऊ,Chhibramau
सौरिख,Saurikh
उमर्दा,Umarda
हसेरन,Haseran
गुगरापुर,Gugrapur
चकर नगर,Chakarnagar
सैफई,Saifai
जसवंत नगर,Jaswant Nagar
भरथना,Bharthana
ताखा,Takha
बढ . पुरा,Bad. Pura
बसरेहर,Basrehar
महेवा,Mahewa
एवा कटरा,Eva Katra
अछल्दा,Achalda
अजीतमल,Ajitmal
औरैया,Auraiya
विधूना,Vidhuna
सहार,Sahar
भाग्यनगर,Bhagyanagar
सरसौल,Sarsaul
विधनू,Vidhnu
शिवराजपुर,Shivrajpur
पतारा,Patara
कल्यानपुर,Kalyanpur
चौबेपुर,Chaubepur
बिल्हौर,Bilhaur
घाटमपुर,Ghatampur
ककवन,Kakwan
भीतर गाँव,Bheetar Gaon
झींझक,Jhinjhak
राजपुर,Rajpur
डेरापुर,Derapur
मैथा,Maitha
अमरौधा,Amraudha
मलासा,Malasa
सन्दलपुर,Sandalpur
सरवनखेड,Sarwankhed
अकबरपुर,Akbarpur
रसूलाबाद,Rasulabad
डकोर,Dakor
कदौरा,Kadoura
रामपुरा,Rampura
नदीगांव,Nadigaon
कुठौन्द,Kuthound
कोचं,Koch
माधौगढ़,Madhogarh
जालौन,Jalaun
मड़ावरा,Madawra
तालबेहट,Talbehat
महरौनी,Mahroni
बार,Bar
विरधा,Virdha
जखौरा,Jakhoura
बामौर,Bamaur
बबीना,Babina
गुरसराय,Gursarai
चिरगांव,Chirgaon
मोठ,Moth
बड़ागांव,Baragaon
कबरई,Kabrai
पनवाडी,Panwari
चरखारी,Charkhari
जैतपुर,Jaitpur
सरीला,Sarila
राठ,Rath
गोहाण्ड,Gohand
सुमेरपुर,Sumerpur
मौदहा,Maudha
मुस्करा,Muskra
नरैनी,Naraini
बड़ोखर खुर्द,Badokhar Khurd
तिन्दवारी,Tindwari
महुआ,Mahua
जसपुरा,Jaspura
कमासिन,Kamasin
बबेरू,Baberu
बिसण्डा,Bisanda
मऊ,Mau
रामनगर,Ramnagar
मानिकपुर,Manikpur
कर्वी (चित्रकूट ),Karwi (Chitrakoot)
पहाड़ी,Pahadi
हस्वा,Haswa
खजुहा,Khajua
देवमई,Devmai
मलवां,Malwan
अमौली,Amauli
तेलियानी,Teliyani
बहुआ,Bahua
भिटौरा,Bhitaura
असोथर,Asothar
विजयीपुर,Vijayipur
ऐरायां,Airaya
कड़ा,Kada
कौशाम्बी,Kaushambi
नेवादा,Nevada
चायल,Chayal
सरसंवा,Sarsawa
मंझनपुर,Manjhanpur
मूरतगंज,Muratganj
सिराथू,Sirathu
मेजा,Meja
उरुवा,Uruwa
बहरिया,Baharia
कोराँव,Koraon
जसरा,Jasra
बहादुरपुर,Bahadurpur
सैदाबाद,Saidabad
कौधियारा,Kaudhiyara
करछना,Karchana
मऊआइमा,Mau Aima
धनूपुर,Dhoopur
कौड़िहार,Kaudihar
सोरॉव,Sorav
हंडिया,Handia
मांडा,Manda
प्रतापपुर,Pratappur
फूलपुर,Phoolpur
शंकरगढ़,Shankargarh
चाका,Chaka
होलागढ़,Holagarh
मान्धाता,Mandhata
आसपुर,Aspur
बाबागंज,Babaganj
कालाकांकर,Kalakankar
संडवा चंद्रिका,Sandwa Chandrika
लक्ष्मणपुर,Laxmanpur
लालगंज,Lalganj
रामपुर संग्रामगढ़,Rampur Sangramgarh
सांगीपुर,Sangipur
बिहार,Bihar
गौरा,Gaura
मगरौरा,Magroura
पट्टी,Patti
बाबा बेलखरनाथ धाम,Baba Belkarnath Dham
शिवगढ़,Shivgarh
कुण्डा,Kunda
ऊंचाहार,Unchahar
दीनशाहगौरा,Deenshahgaura
सरेनी,Sareni
सताँव,Sataon
हरचन्दपुर,Harchandpur
महराजगंज,Maharajganj
खीरो,Khiro
राही,Rahi
अमावाँ,Amawan
जगतपुर,Jagtapur
बछरावां,Bachhrawan
शिवगढ,Shivgarh
रोहनिया,Rohaniya
डलमऊ,Dalmau
मियॉगंज,Miyanganj
औरास,Auras
पुरवा,Purwa
हसनगंज,Hasanganj
बांगरमऊ,Bangarmau
सफीपुर,Safipur
सिकन्दरपुर करन,Sikandarpur Karan
बीघापुर,Bighapur
असोहा,Asoha
फतेहपुर चौरासी,Fatehpur Chaurasi
सि ० सिरोसी,Si. Sirosi
बिछिया,Bichhiya
हिलौली,Hilauli
सण्डीला,Sandila
साण्डी,Sandi
हरियावां,Hariyawan
टडियावां,Tadiyawan
कछौना,Kachauna
कोथावाँ,Kothawan
बिलग्राम,Bilgram
शाहाबाद,Shahabad
टोडरपुर,Todarpur
माधौगंज,Madhoganj
बावन,Bawan
मल्लावाँ,Mallawan
सुरसा,Sursa
भरावन,Bharawan
हरपालपुर,Harpalpur
भरखनी,Bharkhani
पिहानी,Pihani
अहिरोरी,Ahirori
बेंहदर,Bendher
गोसाईगंज,Gosaiganj
चिनहट,Chinhat
मोहनलालगंज,Mohanlalganj
मलिहाबाद,Malihabad
तालाब,Talab
काकोरी,Kakori
सिधौली,Sidhauli
मिश्रिख,Mishrikh
सकरन,Sakaran
29 रामपुरमथुरा,29 Rampur Mathura
38 रामपुरमथुरा,38 Rampur Mathura
40 रामपुरमथुरा,40 Rampur Mathura
41 रामपुरमथुरा,41 Rampur Mathura
47 रामपुरमथुरा,47 Rampur Mathura
62 रामपुरमथुरा,62 Rampur Mathura
64 रामपुरमथुरा,64 Rampur Mathura
71 रामपुरमथुरा,71 Rampur Mathura
बेहटा,Behta
ऐलिया,Ailia
हरगांव,Hargaon
लहरपुर,Laharpur
खैराबाद,Khairabad
गोंदलामऊ,Gondlamau
बिसवाँ,Biswan
मछरेहटा,Machhrehta
कसमण्डा,Kasmanda
पहला,Pahla
महमूदाबाद,Mahmudabad
परसेंण्डी,Parsendi
महोली,Maholi
पिसावाँ,Pisawan
लखीमपुर,Lakhimpur
बेहजम देवी,Behjam Devi
फूलबेहड़,Phoolbehad
गोला (कुम्भी ),Gola (Kumbhi)
बिजुआ,Bijua
बांकेगंज,Bankeganj
मोहम्मदी,Mohammadi
मितौली,Mitauli
पसगवां,Pasgawan
धौरहरा,Dhaurahra
पलिया,Palia
निघासन,Nighasan
ईसानगर,Isanagar
रमियाबेहड़,Ramiabehad
अमेठी,Amethi
बाजार शुक्ल,Bazar Shukl
भादर,Bhadar
गौरीगंज,Gauriganj
जामों,Jamo
जगदीशपुर,Jagdishpur
भेटुआ,Bhetua
मुसाफिरखाना,Musafirkhana
संग्रामपुर,Sangrampur
शाहगढ,Shahgarh
तिलोई,Tiloi
छतोह,Chhatoh
डीह,Deeha
सलोन,Salon
सिंहपुर,Singhpur
जरवल,Jarwal
कैसरगंज,Kaiserganj
हुजूरपुर,Huzoorpur
तजवापुर,Tajwapur
बलहा,Balha
महसी,Mahsi
शिवपुर,Shivpur
मिहीपुरवा,Mihipurwa
चित्तौरा,Chittaura
रिसिया,Risia
पयागपुर,Payagpur
विशेश्वरगंज,Visheshwarganj
गिलौला,Gilaula
सिरसिया,Sirsia
हरिहरपुर रानी,Hariharpur Rani
जमुनहा,Jamunaha
इकौना,Ikauna
बलरामपुर,Balrampur
गैंसडी,Gainsari
पचपेडवा,Pachpedwa
गैडास बुजुर्ग,Gaidas Buzurg
श्रीदत्तगंज,Shridattganj
