Name,Transliterated
सिमराया ता ० घुंघचिह,Simraya Ta 0 Ghungchich
बल्लोखास,Ballokhas
सिसैया दरियाना,Sisiya Dariyana
कीरतपुर,Kiratpur
खैरहवा दुबे,Khairhwa Dube
मिर्जापुर,Mirzapur
साढौली कदीम,Sadhauli Qadeem
हसनपुर,Hasanpur
अम्बैहटा शेखा,Ambehta Shekha
थामना,Thamana
भायला कलां,Bhaila Kalan
नूनाबडी,Nunabedi
धौलापडा,Dhaulapada
रायपुर,Raipur
समसपुर कला,Samsapur Kala
ढिक्काकला,Dhikkakala
बुड्ढाखेड़ा पुण्डीर,Buddhakheda Pundir
खडलाना,Khadlana
धानवा,Dhanwa
छपार,Chapar
महरायपुर,Mahraypur
खेडडी कुरैश,Kheedi Quraish
नागला रूद्र,Nagla Rrudra
फहीमपुर खुर्द,Fahimpur Khurd
खोकनी,Khokni
ख्यावडी,Khyawadi
अम्बेहटा याकूबपुर,Ambehta Yaqubpur
भैसानी इसलामपुर,Bhaisani Islampur
बुन्टा,Bunta
जसाना उर्फ मस्तगढ,Jasana Urf Mastgarh
हिरनवाडा,Hiranwada
मानकपुर,Manakpur
रहडवा,Rahdwa
खेडडी सराय,Kheedi Sarai
कितास,Kitas
बिहारी,Bihari
शेरपुर,Sherpur
बुटराडा,Butarada
खेडा भाऊ,Kheda Bhaau
भडी मुस्तफाबाद,Bhadi Mustafabad
चौसाना,Chausana
दथेडा,Datheda
बल्ला माजरा,Balla Majra
जिजौला,Jijoula
महमूदपुर उर्फ लकडसं,Mahmudpur Urf Lakdason
बलवाखेडडी,Balwakheedi
बाढ,Baadh
दूधली,Dudhli
गल्हैता,Galheta
कमाला,Kamala
मु ० कनवाडा,Mu ० Kanwada
सूजती,Sujati
मीतली,Meetali
नंगला जाफराबाद, Nangla Jafarabad
टयोढी,Tayodhi
ढोढरा सादुल्लापुर,Dhodra Sadullapur
दौझा नंगला,Dhouja Nangla
पचायरा,Pachayara
ककराना,Kakrana
करणपुर जट,Karanpur Jat
नरायनपुर बासका,Narayanpur Baska
शाहपुर फगौता,Shahpur Fagota
समाना,Samana
पारपा,Parpa
आजमपुर ,Azampur
सिखैड़ा,Sikheda
कन्दौला,Kandaula
",",","
अब्दुल्लापुर मोडी,Abdullahpur Modi
हाफिजपुर उबारपुर,Hafizpur Ubarpur
निजामपुर,Nizamupur
टियाला,Tiala
सालेपुर कोटला ,Sale Pur Kotla
हृदयपुर,Hriday Pur
कांवी,Kanvi
शाहमहीउद्दीननगर,Shahmahiuddin Nagar
डहाना चचोई,Dahana Chachoi
आयादनगर उत्तरी ,Aayadanagar Uttari
मुरशदपुर मोरपुर,Murshadpur Morpur
कमालपुर फिरोजपुर,Kamalpur Ferozpur
अच्छेजा,Achheja
अयादनगर दक्षिणी,Aayadanagar Dakshini
अहमदपुर नया गांव,Ahmadpur Naya Gaon
रघुनाथपुर चन्दपुरा,Raghunathpur Chandpura
भमैडा,Bhameda
घुंघराला,Ghungharala
सलाई,Salai
अनूपुर डिबाई,Anuppur Dibai
भदस्याना,Bhadsyana
लहडराबरारी,Lahderabari
पूठशकराटीला,Puushkaratili
कलछीना,Kalchina
परतापुरमीरापुर,Partapurmirapur
नेकरामपुर फूल्ड़ी,Nekrampur Phoolri
वैठ,Vaith
भोवापुर,Bhovapur
सरूरपुर ,Sarurpur
शरीफपुर,Sharifpur
भगवानपुर,Bhagwanpur
आरिफपुर,Arifpur
छजारसी वाजिदपुर,Chhajarasi Wajidpur
नगला चरनदास,Nagla Charandas
सिरौली बागर,Siroli Bガー
फलैदा वांगर,Phaleida Wangar
दस्तमपुर,Dastampur
दयौरार,Dayoraar
म्याना,Myaana
मंडपा सालेपुर,Mandpa Saaleepur
बहादुरपुर पसौली,Bahadurpur Pasauli
शेखूपुर गढवा,Shekhupur Gadhwa
कुतुबपुर,Kutubpur
शाहपुर सीकरी,Shahpour Seekri
सैदगढी,Saedgadhi
जरारा,Jarara
रूदरी,Rudri
गंगावली,Gangaavli
खेड़ा,Kheda
जटौला,Jatoula
पला,Pala
आलमपुर उर्फ चिलमा,Aalampur Urf Chilma
राजघाट,Raajghat
बेलोन,Belon
कर्णवास,Karnaavaas
महेपा जागीर,Mahepa Jaagir
इस्माईलपुर,Ismailpur
सनौटा,Sanota
कांवरा,Kaanwara
सॉवंली,Saanwli
बीरखेडा,BirKheda
मौहम्मदपुर कलां,Mohammadpur Kalaan
जौली,Jauli
सरायदुल्हा,Saraiullah
रघुनाथपुर,Raghunathpur
मौ  खुर्द,Mau  Khurud
खुदा दिया,Khuda Diya
जिरौली,Jiroli
खेतलपुर भासौली,Khetalpur Bhaasauli
फकाना,Fakana
बागवाला,Baagwaala
अजीतपुर,Ajitpur
खंगावली,Khangaaavli
सुलेमानशिकोहपुर,Sulaimaan Shikohpur
समसपुर नसीब,Samaspur Naseeb
अजुपुरा रानी,Ajupura Rani
शाहलीपुर कोटरा,Shaahlipur Kotra
जमालपुर ढ़ीकली,Jamaalpur Dhikli
साहबपुर रतन सिंह,Sahaabpur Ratan Singh
खटाई,Khatai
विदरोनंगली,Vidronangli
पाडला,Padla
सराय जीवन,Sarai Jeevan
अनवरपुर चतर,Anwarpur Chatar
अकबराबाद,Akbarabad
इस्लामपुर शाहली,Islamppur Shahli
इटावा,Etawah
चान्दपुर नौआबाद,Chandpur Nauabad
खेडकी हेमराज,Khedki Hemraj
तरीकमपुर रूपचन्द,Tarikampur Roopchand
फरीदपुर काजी,Fareedpur Qazi
मुकीमपुर जमाल,Mookimpur Jamal
प्रतापपुर,Pratapur
ताहरपुर ईशहाक,Taharpur Ishaq
प्रेमपुर,Premppur
फजलपुर हबीब,Fazalpur Habib
हर्षवाडा,Harshwada
मुबारकपुर,Mubarakppur
जीतपुर खास,Jeetpur Khas
सोतखेडी,Sotkhedi
लाडनपुर,Ladnpur
नेकोफाल उर्फ बिलाई,Nekofal Urf Bilaee
गांगुनंगला,Gangunangla
उमरीपीर,Umreepeer
दारानगर,Daranagar
मसीत,Masit
खेडकी,Khedki
नसीरपुर शेख,Naseerpur Sheikh
महबुल्लापुर ढाकी,Mahbullapur Dhakee
हिरनपुर माफी,Hiranpur Mafi
मौ अलीपुर इनायत,Mau Alipur Inayat
रनावली,Rannawali
बादशाहपुरलक्ष्मीसेन,Badshahpurlaxmisen
हुसैनपुर हमीद,Hussainpur Hamed
जमालपुर आलम,Jamalpur Alam
हाफिजाबाद,Hafizabad
बेरखेडा चौहान,Berkheda Chauhan
साहदुल्ला खानपुर,Sahdullah Khanpur
मौ पुर सादा,Mau Pur Sada
अलादीनपुर भोगी,Aladinpuri Bhogee
सालराबाद,Salarabad
शाहलीपुर उत्तमचन्द,Shahlipur Uttamchand
फतेहपुर जमाल उर्फ म,Fatehpur Jamal Urf M
सलावा,Salawa
गजरौला,Gajrola
उमरपुर आशा,Umrapur Asha
मौ पुर जैतरा,Mau Pur Jaitra
ZE,ZE
बीबडा खुर्द,Beedba Khurd
रामपुर जुन्नारदार,Rampur Junnardar
शाहिदपुर,Shahidpur
गजाना,Gazana
अल्हेदादपुर कलां,Alhedadpur Kalan
दाऊद सराय,Dawood Sarai
तिगरिया नादिरशाह,Tigariya Nadirshah
गंगवार,Gangwar
वांस का खुर्द,Vaans Ka Khurd
देहरी खादर,Dehri Khadar
मलकपुर,Malkpur
वासीपुर,Vasipur
कनपुरा,Kanpura
पलौला,Paloula
अम्हेडा,Amheda
कटाई,Katai
चकपॉयती,Chakpoytee
चौधरपुर,Chaudharpur
दीपपुर,Deepur
मूण्डा इम्मा,Munda Imma
कूकरझुंडी,Kukarjhoondi
वढपुरा मझराकूरी,Vadhpura Majrakooree
बुढानपुर,Budhanpur
विलाबाला,Vilabala
भगतपुरटाण्डा,Bhagatpurtanda
बहेडी,Bahedi
कोरवाकू,Korvakoo
समदा चर्तुभूज,Samda Chaturbhuj
सरदारनगर,Sardarnagar
हमीरपुर,Hamirpur
पीपलसाना,Pipalsana
गनेशपुरदेवी,Ganesphurdevi
महमूदपुर तिगरी,Mahmudpur Tigri
लौगीकला,Laugi Kalan
अस्लेमपुर,Aslempur
रामूवाला गनेश,Ramoovala Ganesh
वोवदवाला,Vovdavala
गोधी,Godhi
उत्तमपुर वहलोलपुर,Uttampur Vahlulpur
गिंदौडा,Gindauda
लोदीपुर राजपूत,Lodipur Rajput
पल्लूपुरा घोसी,Pallupara Ghosi
समाथल,Samathal
पाकवडा,Pakvada
सरकडा करीम,Sarkada Karim
सुन्दरनगर,Sundernagar
सुल्तानपुर मुण्डा,Sultanaur Munda
नगला ताहर,Nagla Tahar
धारकनगला,Dharkangala
तगाला,Tagala
मानपुर साबित,Manpur Sabit
अकबरपुर,Akbarpur
मिर्जापुर करीमुददीन,Mirzapur Karimuddin
अहमदपुर आनन्दपुर,Ahmadpur Anandpur
मंसूरपुर,Mansurpur
बाकरपुर अटायन,Bakarpur Atayan
मुंडिया मोईनुददीनपुर,Mundiya Moinuddinpur
काजीपुरा,Kazipura
मसेवी रसूलपुर,Masevi Rasulpur
ललवारा,Lalwara
डींगर पुर,Dinger Pur
नरेठा खिजरपुर,Naretha Khizarpur
हिसामपुर,Hisampur
असदपुर,Asadpur
नगला कमाल,Nagla Kamal
अमनपुर कुन्दरकी,Amanpur Kunderki
इमरतपुर सिरसी,Imratpur Sirsi
मझोलीखास,Mazholikhas
लदपुरा भीकनपुर,Ladpura Bhiknapur
राजपुर,Rajpur
फत्तेहपुर शरीफनगर,Fattehpur Sharifnagar
चितौरा,Chitouda
सैफपुर पल्ला,Saifpur Palla
जैतिया सादुल्लापुर,Jaitiya Sadullapur
देवापुर,Dewapur
वीरपुर वरियार,Virpur Variyar
गोवर्धनपुर,Goverdhanpur
ईलर रसुलावाद,Eler Rusulawad
खानपुर लक्खी,Khanpur Lakkhi
दोलरा,Dolara
वीरपुरथान,Virpurthan
मदनापुर,Madnapur
सिरसखेडा,Sirsakheda
मवई डोल,Mawai Dol
विलालपत,Vilalpat
मुबारकपुर वन्द,Mubarakpur Wand
तलवार,Talwar
चन्दवार,Chandwar
उमरा गोपालपुर,Umra Gopalpur
मई,Mai
मिश्रीपुर,Mishripur
गढी,Garhi
अम्बरपुर,Amberpur
सिरस खेडा,Sirsakheda
भैसिया ज्वालापुर,Bhaisiya Jawalapur
पिपलिया महतो,Pipaliya Mahto
मानपुर ओझा,Manpur Ojha
लालपुर,Lalpur
महूनागर,Mahunagar
नूरपुर,Nurpur
पिपलिया जट,Pipaliya Jat
मुण्डिया कलां,Mundiya Kalan
कमुआ नगला,Kamu'a nagla
पिपलिया मिश्र,Pipaliya mishra
पजईया,Pajaiya
दनकरा,Danakara
पजावा,Pajawa
भटपुरा तारन,Bhatpura taran
बिढऊ,Bidhau
मनकरा,Manakara
बेरूआ,Beru'a
सैफनी,Saifani
भरतपुर,Bharatpur
वमनपुरी,Vamanpuri
अजीतपुर,Ajitpur
भोट,Bhot
नवादा,Nawada
वाजिदपुर,Wajidpur
बांसनगली,Bansen'gali
अफजलपुर पटटी,Afjalpur paTTI
पीपलगॉव,Pipel'gaow
ककरव्वा,Kakrabbawa
हरियाल,Hariyal
लालपुर कलां,Lalpur kalan
झुरकी झुण्डी,Jhurki jhundi
हमीरपुर,Hamirpur
कलैया नगला,Kalaeiya nagla
परसुपुरा,Parsupura
सूरत सिंहपुर,Surt singhpur
पुरैना,Pureina
जिवाई कदीम,JiWai kadeem
कृप्या पाण्डेय,Krup'ya pandeya
दुआवट,Duaawt
विक्रमपुर,Vikrampur
भवंरका,Bhawarka
निपनिया,Nipaniya
गुलाम गंज,Gulam ganj
चैनपुर,Chainpur
स्वार खुर्द,Swaar khurd
गंगापुर कदीम,Gangapur kadeem
सिलईबडागॉव,Silai baDagaow
देवरी बुजुर्ग,Dewari bujurg
हरदासपुर,Hardaspur
भोजीपुरा,Bhojipura
झुनईया,Jhuniya
लाडपुर बीबी,LaDapur bi'bi
देवीपुरा,Dewipura
रामनगर लतीफपुर,Ramanagar latifpur
आरसल - पारसल,Aarsal - paarsal
रायपुर,Raipur
विरिया नरायनपुर,Viriya naraayanpur
चौवारी,Chauwari
 SS , SS 
  दईया वोझ,Daiya Vozh
 सिधौरा,Sidhoura
 जोखनपुर,Jokhanpur
 टाँडा सिकन्दरपुर,Tanda Sikandarpur
 सिरोही,Sirohi
 मझारा,Mazhara
