Name,Transliterated
बनरसिंहा खुर्द,Banarsinha Khurd
कैलशिकारपुर,Kailashikarpur
ब्रम्हकुमार सिंह,Brahmkumar Singh
रामगति प्रसाद,Ramgati Prasad
सखेड़ा,Sakhera
श्रीरामपुर लमौली,Shrirampur Lamauoli
सुशीला देवी पत्नी ताराक,Sushila Devi Patni Tarak
दहिनी,Dahini
पकड़ियार बुजुर्ग,Pakariyar Bujurg
अछनियां,Achhaniyan
मौफीक,Maufeek
कमहरिया बु0,Kamhariya Bu0
नरहन खास,Narhan Khas
पखेरी,Pakheri
कुडौनी,Kudoni
कौशलेन्द्रासिंह,Kaushalendrasingh
खलौआ,Khalaua
नावध,Nawadh
भौसहवा,Bhausahawa
रामपुर महुआबारी,Rampur Mahuawari
जलोखरी राउपुर,Jalokhari Raipur
शेरपुर बल्ला,Sherpur Balla
चाँद हसन,Chand Hasan
रावतपुर कलां,Rawatpur Kalan
कमहरिया खुन-2,Kamhariya Khoon-2
गौतमी पत्नी मुकुन्द,Gautami Patni Mukund
सकराया बांगर,Sakraya Bangar
महुवा कोला,Mahua Kola
नगला रामा,Nagla Rama
ब्रहमशीला,Brahmashila
पकड़ीकला,Pakdikalan
उगनपुर बीसलपुर,Uganpur Bisalpur
महाराजपुर बहादुरसिंह,Maharajpur Bahadur Singh
सुधा,Sudha
मो ० शमीम खाँ,Mo 0 Shameem Khan
नंगला काला,Nagla Kala
हरदिहाजलाल,Hardihajlal
ळ्  रठौरा,L Rathaura
साल्हर खाँ,Salhar Khan
मुड़ियारा,Mudiyara
मलूकपुर,Malukpur
जद्दी,Jaddei
उद्देत राम,Uddet Ram
बिजेथुआराजापुर,Bijethuaraajapur
प्रमोद रानी,Pramod Rani
भिखरपुर,Bhikharpur
भुन्ना जाटान,Bhunna Jatan
बुढनी भलुइया,Budhni Bhaluiya
हुसौनगज,Husaunagaz
शरीफुननिशां,Sharifunnisha
भगहाकला,Bhagahkala
चंदरौला,Chanderaula
अडगोडवा द्वितीय,Adgodva Dvitya
जवईपडरी,Jabaipadri
गोतवा,Gotva
रायपुर बेलवाडाड़ी,Raipur Belwadari
बढनपुर फत्ते,Badhanpur Fatte
दिल?ााद,Dil'aad
अन्डहा,Andha
बांकीसिंगही,Bankisinghi
खैरपुर जगजीवन,Khairpur Jagjivan
बृन्दा देवी,Brinda Devi
सुममा देवी,Summa Devi
लहरा असदुल्लापुर,Lahra Asadullahpur
विशुनगढ ..,Vishungadh..
चकप्रेमा उर्फ भटवाचव,Chakprema Urf Bhatvachev
रामपुर पट्टी सरनाम,Rampur Patti Sarnam
नौवापुर,Nauvapur
वलचहा,Valchaha
