Name,Transliterated
सहारनपुर,Saharanpur
मुज्जफरनगर,Muzaffarnagar
मेरठ,Meerut
बागपत,Baghpat
गाजियाबाद,Ghaziabad
गौतम बुद्ध नगर,Gautam Buddh Nagar
बुलंदशहर,Bulandshahar
बिजनौर,Bijnor
ज्योतिबा फूले नगर,Jyotiba Phule Nagar
मुरादाबाद,Moradabad
रामपुर,Rampur
बरेली,Bareilly
पीलीभीत,Pilibhit
शाहजहांपुर,Shahjehanpur
बदायूं,Badaun
अलीगढ़,Aligarh
हाथरस,Hathras
मथुरा,Mathura
आगरा,Agra
फिरोजाबाद,Firozabad
मैनपुरी,Mainpuri
एटा,Etah
फरुखाबाद,Farrukhabad
कन्नौज,Kannauj
इटावा,Etawah
औरैया,Auraiya
कानपुर नगर,Kanpur Nagar
कानपुर देहात,Kanpur Dehat
जालौन,Jalaun
ललितपुर,Lalitpur
झांसी,Jhansi
महोबा,Mahoba
हमीरपुर,Hamirpur
बांदा,Banda
चित्रकूट,Chitrakoot
फतेहपुर,Fatehpur
कौशाम्बी,Kaushambi
इलाहाबाद,Allahabad
प्रतापगढ़,Pratapgarh
रायबरेली,Rae Bareli
उन्नाव,Unnao
हरदोई,Hardoi
लखनऊ,Lucknow
सीतापुर,Sitapur
लखीमपुर खीरी,Lakhimpur Kheri
बहराइच,Bahraich
श्रावस्ती,Shravasti
बलरामपुर,Balrampur
गोंडा,Gonda
बाराबंकी,Barabanki
सुल्तानपुर,Sultanpur
अम्बेडकरनगर,Ambedkar Nagar
फैजाबाद,Faizabad
बस्ती,Basti
सिद्धार्थनगर,Siddharthnagar
संत कबीर नगर,Sant Kabir Nagar
गोरखपुर,Gorakhpur
महाराजगंज,Maharajganj
कुशीनगर,Kushinagar
गोसाईगंज,Goshainganj
आजमगढ़,Azamgarh
मऊ,Mau
बलिया,Ballia
गाजीपुर,Ghazipur
चन्दौली,Chandauli
वाराणसी,Varanasi
जौनपुर,Jaunpur
संत रविदास नगर,Sant Ravidas Nagar
मिर्जापुर,Mirzapur
सोनभद्र,Sonbhadra
रामपुर मनिहारन,Rampur Maniharan
साढोली कदीम,Sadhauli Kadaim
देवबन्द,Deoband
नानोता,Nannota
मुजफ्फराबाद,Muzaffarabad
सरसावा,Sarsawa
नकुड,Nakud
पुवांरका,Puwayanka
गंगोह,Gangoh
बलियाखेडी,Baliakhedi
नागल,Nagal
बघरा,Baghra
पुरकाजी,Purkazi
खतौली,Khatauli
कैराना,Kairana
मोरना,Morna
थाना भवन,Thana Bhawan
जानसठ,Jansath
बुढ़ाना,Budhana
शाहपुर,Shahpur
सदर,Sadar
शामली,Shamli
ऊन,Un
चरथावल,Charthawal
कांधला,Kandhla
जानी खुर्द,Jani Khurd
रोहटा,Rohta
दौराला,Daurla
रजपुरा,Rajpura
खरखौदा,Kharkhauda
मवाना,Mawana
मेरठ,Meerut
हस्तिनापुर,Hastinapur
सरधना,Sardhana
सरूरपुर खुर्द,Sarurpur Khurd
माछरा,Machhra
परीक्षितगढ,Parikshitgarh
खेकडा,Khekda
पिलाना,Pilana
बडौत,Badaut
छपरौली,Chhaprauli
बिनौली,Binauli
बागपत,Baghpat
लौनी,Launi
धौलाना,Dhaulana
मुरादनगर,Muradnagar
हापुड,Hapur
रजापुर,Rajapur
गढ़मुक्तेश्वर,Garhmukteshwar
भोजपुर,Bhojpur
सिम्भावली,Simbhaoli
विसरख,Visrakh
दादरी,Dadri
जेवर,Jewar
लखावटी,Lakhaoti
पहासू,Pahasu
अनूपशहर,Anupshahr
शिकारपुर,Shikarpur
स्याना,Siana
अरनियां,Arania
डिबाई,Dibai
खुर्जा,Khurja
सिकन्द्राबाद,Sikandrabad
बी . बी . नगर,B. B. Nagar
ऊँचागाँव,Unchagaon
जहांगीराबाद,Jahangirabad
दानपुर,Danpur
बुलन्दशहर,Bulandshahr
गुलावटी,Gulaothi
अगौता,Agohta
नूरपुर,Nurpur
कोतवाली,Kotwali
अफजलगढ,Afjalgarh
आकू नहटौर,Aaku Nahtor
किरतपुर,Kiratpur
मौ ० पुर देवमल,Mau 0 Pur Deomal
नजीबाबाद,Najibabad
हल्दौर,Haldor
जलीलपुर,Jalilpur
स्योहारा,Syohara
अल्हैपुर धामपुर,Alhaipur Dhaumpur
अमरोहा,Amroha
गजरौला,Gajraula
गंगेश्वरी,Gangeshwari
धनौरा,Dhanaura
नाम हसनपुर,Naam Hasanpur
जोया,Joya
बिलारी,Bilari
भगतपुर टाण्डा,Bhagatpur Tanda
ठाकुरद्वारा,Thakurdwara
सम्भल,Sambhal
मुरादाबाद,Moradabad
डिलारी,Dilari
डींगरपुर ( कुन्दरकी),Dingerpur (Kunderki)
बहजोई,Bahjoi
पंवासा,Panwasa
मुढा पाण्डेय,Mudha Pandey
असमोली,Asamoli
बनिया खेडा,Baniya Kheda
छजलैट,Chhajlet
बिलासपुर,Bilaspur
शाहाबाद,Shahabad
चमरख्वा,Chamarkhwa
सैदनगर,Saidnagar
मिलक,Milkak
स्वार,Swar
क्यारा,Kyara
भोजीपुरा,Bhojipura
विथरी चैनपुर,Vithri Chainpur
बहेड़ी,Behadi
शेरगढ़,Shergarh
दमखोदा,Damkhoda
फरीदपुर,Faridpur
भुता,Bhuta
नवाबगंज,Nawabganj
भदपुरा,Bhadpura
मीरगंज,Mirganj
फतेहगंज ( प O ),Fatehganj ( P O )
आलमपुर जाफराबाद,Alamgir Jafrabad
मझगवां,Majhgawan
रामनगर,Ramnagar
बीसलपुर,Bisalpur
बिलसण्डा,Bilsanda
मरौरी,Marauri
बरखेड़ा,Barakheda
अमरिया,Amariya
ललौरी खेड़ा,Lalaurikheda
पूरनपुर,Puranpur
मदनापुर,Madanpur
ददरौल,Dadraul
काँट,Kant
भावलखेड़ा,Bhawalkheda
जलालाबाद,Jalalabad
मिर्जापुर,Mirzapur
कलान,Kalan
सिंधौली,Sindhauli
वण्डा,Vanda
खुटार,Khutar
पुवाया,Puwaya
कटरा - खुदागंज,Katara - Khudaganj
जैतीपुर,Jaitipur
निगोंही,Nigohani
तिलहर,Tilhar
जगत,Jagat
वजीरगंज,Vazirganj
बिसौली,Bisauli
म्याऊँ,Myau
अम्बियापुर,Ambiapur
जुनावई,Junaawai
इस्लामनगर,Islamanagar
कादरचौक,Kaderchauk
उझानी,Uzhani
समरेर,Samrer
सालारपुर,Salarpur
गुन्नौर,Gunnaur
दहगवाँ,Dahgawan
दातागंज,Dataganj
आसफपुर,Asafpur
उसावाँ,Usaawa
बिजौली,Bijoili
टप्पल,Tappal
गोंडा,Gonda
गंगोरी,Gangori
खैर,Khair
इगलास,Iglas
धनीपुर,Dhanipur
अतरौली,Atroli
अकराबाद,Akrabad
जवां,Jawa
सासनी,Sasnni
सिकन्दराराऊ,Sikandarrao
मुरसान,Mursan
हसायन,Hasayan
सादाबाद,Sadabad
सहपऊ,Sahapau
मथुरा,Mathura
गोवर्धन,Goverdhan
बल्देव,Baldev
फरह,Farah
चौमुहाँ,Chaumuhan
छाता,Chhata
नन्दगाँव,Nandgaon
माट,Mat
नौहझील,Nowhjeel
राया,Raya
एत्मादपुर,Etmadpur
खन्दौली,Khandauli
अकोला,Akola
बिचपुरी,Bichpuri
बरौली अहीर,Barauli Ahir
फतेहपुर सीकरी,Fatehpur Sikri
अछनेरा,Achnera
खैरागढ़,Khairagarh
सैंया,Sainaya
जगनेर,Jagner
शमशाबाद,Shamshabad
फतेहाबाद,Fatehabad
बाह,Bah
पिनाहाट,Pinahat
जैतपुर कला,Jaitpur Kala
जसराना,Jasrana
एका,Eka
अरांव,Aranv
नारखी,Narkhi
मदनपुर,Madanpur
हाथवन्त,Hathwant
शिकोहाबाद,Shikohabad
फिरोजाबाद,Firozabad
टूण्डला,Tundla
मैनपुरी,Mainpuri
घिरोर,Ghiror
कुरावली,Kuravali
बेबर,Bebar
किशनी,Kishni
जागीर,Jagir
सुल्तानगंज,Sultanganj
करहल,Karhal
बरनाहल,Barnahal
पटियाली,Patiali
मारहरा,Marhara
सकीट,Sakit
अवागढ़,Awagarh
शीतलपुर,Shitalpur
सोरों,Sauron
अमांपुर,Amaanpur
निधौली कलॉ,Nidhauli Kalo
जलेसर,Jalesar
सिढ़पुरा,Sidhpura
जैथरा,Jaitra
गंजडुण्डवारा,Gajdundwara
अलीगंज,Aligarh
सहावर,Sahawar
कासगंज,Kasganj
बढ . पुर,Badh. Pur
कायमगंज,Kayamganj
राजेपुर,Rajepur
कमालगंज,Kamalganj
मोहम्मदाबाद,Mohammadabad
कन्नौज,Kannauj
तालगाम,Talgām
छिबरामऊ,Chibramau
सौरिख,Saurīkh
उमर्दा,Ūmardā
हसेरन,Haseran
गुगरापुर,Gugrāpur
चकर नगर,Chakar Nagar
सैफई,Saifai
जसवंत नगर,Jaswant Nagar
भरथना,Bharthana
ताखा,Takha
बढ . पुरा,Badh. Purā
बसरेहर,Basrehar
महेवा,Mahewa
एवा कटरा,Āwa Katra
अछल्दा,Achhalda
अजीतमल,Ajitmal
औरैया,Auraiya
विधूना,Vidhuna
सहार,Sāhar
भाग्यनगर,Bhāgyanagar
सरसौल,Sarsoul
विधनू,Vidhanu
शिवराजपुर,Shivrajpur
पतारा,Patara
कल्यानपुर,Kalyanpur
चौबेपुर,Chaubepur
बिल्हौर,Bilhaur
घाटमपुर,Ghātampur
ककवन,Kakwan
भीतर गाँव,Bhitar Gaon
झींझक,Jhinjhak
राजपुर,Rajpur
