Name,Transliterated
रन्नूवेगम,Rannoovegam
अजीत कुमार पटेल,Ajeet Kumar Patel
अब्दुल मोबीन अंशारी,Abdul Mobin Ansari
कुआडंडा,Kuadanda
चांदना,Chandana
रिज़वान,Rizwan
कोदहूँ,Kodhoon
बरखेडा हसनगढी,Barkheda Hasanagadi
खुसबुन निशा,Khusbun Nisha
गुलडिया माफी,Guldia Mafi
सितरा बानों,Sitra Banon
शिवपुरी खंजी,Shivpuri Khanji
मनतिया,Mantiya
रामगढ़,Ramgarh
राम विलौनी,Ram Vilaoni
आश मुहम्मद,Aash Mohammed
मदन राजभर,Madan Rajbhar
धमौली,Dhamoli
अहिरौली विशनुपुर घा,Ahirouli VishnuPur Gha
ऊँचेगाँव,Oonchegaon
सेमरी दरगाह,Semri Dargah
बाबूराम पुत्र वंशराज,Baburaam Putra Vansh Raj
भडकौल,Bhadkool
नगला अनिया,Nagla Aniya
सेमरी ता ० पुरवा,Semri Ta 0 Purva
कुदौली मडौली,Kudauli Madauli
अरुण कुमार यादव,Arun Kumar Yadav
लदुपुरा,Ladupura
हरपाल,Harpal
आंटा,Aanta
जबरैला विषखोहर,Jabrela Vishakhohar
छपवा,Chhapwa
राममदारपुर,Ram Madarpur
कुशाग्र दीक्षित,Kushag Dixit
जुगराजपुर,Jug Rajpur
भडेवरा,Bhadewra
हमीदा खतून,Hamida Khatoon
कमला पुत्र लक्खु राम,Kamala Putra Lakkhu Ram
अमेठी,Amethi
भवानीफेर मौर्या,Bhawanifer Morya
मौमीनखां,MoumineKhan
धनसीरा देवी,Dhanseera Devi
रामशर,Ramshar
आसपुर देवसरा,Aaspur Devsara
वचरा,Bachra
ओरा,Ora
दान्दूपुर,Dandupur
पारा थमथुआ,Paara Thamthua
ब्रम्हदेव यादव,Brahmdev Yadav
बूढपुर,Boordhpur
मथुरा चौबे,Mathura Chaube
महापुर,Mahapura
महाराजपुर,Maharajapura
उदियासनउर्फ मुफ्तीगं,Udiasanaurfa Muftiganj
जल्लापुरदिखतमई,Jallauradikhatmai
सेसा,Sesa
मझिगवॉ करन,Majhigava Karan
झण्डपुर,Jhandapura
लक्ष्मीना,Lakshmeena
रमायण,Ramayana
विष्णुकांत,Vishnukanta
चानपति देवी,Chanpati Devi
करमियां,Karmiyan
सिसवा (बसनी),Sisava (Basani)
मुमियाखेडा,Mumiakheda
शतीस चन्द्र,Satis Chandra
भकला,Bhakhala
नधौवां,Nadhouwan
अकबसननिशा,Akbasanansha
सुरश चंद,Suresh Chand
राजेंद्र सिंह शाक्य,Rajendra Singh Shakya
आसिफा खान,Asifa Khan
सुरैल नगला काछी,Surael Nagla Kachi
पछियाना,Pachhiana
रामसिरामणी,Ramsiramni
सोनौढ़ा तराई,Sonoudha Tarai
नगला केवल,Nagla Kewal
महमदपुर पाली,Mahammadpura Pali
ब्रहम देई,Brahma Dei
छिटई,Chittai
सलेमपुरकालपी,Salempurakalpi
धर्मपुर कंजा,Dharampura Kanja
अकबरपुर बांस,Akbarpura Bans
बच्चा देवी,Bachcha Devi
फूलमती शर्मा,Phoolmti Sharma
भवरी,Bhawari
सुनीता राय,Sunita Roy
भतीया पत्नी महावीर,Bhaiya Patni Mahavir
सदरेपुर,Sadrepura
रामपुर सकरवारी,Rampura Sakrawari
अकबरपुर मस्तपुर,Akbarpura Mastupura
पुरन्दरपुर,Purandrapura
शिवगढ,Shivagadha
अनुसूचित जाति महिला -,Anusuchit Jaati Mahila -
अनुसूचित जाति,Anusuchit Jaati
राम बहादुर यादव,Ram Bahadur Yadav
धन्या देवी,Dhannya Devi
सिरसियापट्टी हुसैन,Sirsiyapatti Hussain
भगौतापुर पूर्वी,Bhagotapur Purvi
शाहनगर,Shahanagara
हुजूरपुर,Huzurpura
निसोन,Nison
टेहरी ख्वाजा,Tehri Khwaja
रेवढ़ा,Rewada
नरगड़ा शिवदत्त सिंह,Nargada Shivdat Singh
मूलचन्द्र गुप्ता,Mulchand Gupta
अनारक्षित,Anarakshit
काजीभीटी,Qazibhiti
बरैना,Baraina
गुलाल पुरवा,Gulal Purwa
जमाल अहमद अंसारी,Jamal Ahmed Ansari
अलीपुरा मान,Alipura Maan
हाशिमुख,Hashmukh
चक कोर्रा सादात,Chak Korra Sadat
पोखरभिण्डा उर्फ चक,Pokharbhinda Urf Chak
भटौती,Bhatauti
बहेडी गुर्जर,Bahedi Gurjar
चक अजीज उर्फ वीरा,Chak Aziz Urf Vira
भिलांवा,Bhilwan
मध्य नगर,Madhya Nagar
बसधना,Basdhana
महाम्दापुर नं01,Mahamdapur No.1
सेबनपुर,Sebanpur
महजविन खातून,Mahjvin Khatun
पिपरी आमद भदोही,Pipri Amad Bhadohi
मुजार,Mujar
केश कुमार,Kesh Kumar
सुरनी,Surani
चमपतपुर,Champatpur
दण्डपानपुर,Dandpanpur
लेबरूआ,Labrua
भोजपुर गढ़िया,Bhojpur Garhia
सौंधी,Saunhi
शेषपुर धर्मशाला,Sheshpur Dharmshala
सिद्धहार्थ कुमार महथ,Sidhharth Kumar Mahath
मालकापुर्वा,Malakapurwa
पिपराडाड,Pipradad
सुजनीपुर,Sujanipur
गजफ्फर नगर,Ghazaffar Nagar
गौरैया देवी,Gauraya Devi
मुशहर नचना,Musahar Nachna
मो 0 अच्छन,Mo. 0 Achhan
चिरगौडा,Chirgauda
तेनुहार उर्फ कठौतिया,Tenhuhar Urf Kathautiya
मुन्नी,Munni
नत्थो देवी,Natho Devi
हथेडा,Hatheda
पचहुआ,Pachhua
सैथा,Saitha
सूरजदेव,Suryadev
सलीम जहाँ,Salim Jahaan
माधवी,Madhavi
शिव,Shiv
नाउ देवी,Nau Devi
भीकनपुर कुलवाड़ा,Bhikanpur Kulwara
जयन्तीदेवी,Jayantidevi
नगला राम,Nagla Ram
पयारापुर,Payarapu
बेटियापुर,Betiapur
तीला,Teela
करमाकला,Karmakala
अजमेरून,Ajmeroon
ततारपुर,Tatarpur
रामपुरसघां,Rampursagha
नकुड देहात,Nakud Dehat
मोतीपाकड शरीकानत,Motipakad Sharikant
भेड़ी,Bheri
सीड़,Seed
तामापार,Tamapar
सिकरोडी,Sikodi
चंद्रापाल,Chandrapal
नीलम क़ुमरी उर्फ नीलम देवी,Neelam Kumari Urf Neelam Devi
कुल्हनामऊ,Kulhanmau
शैलेन्द्र सिंह सिकरवार,Shailendra Singh Sikarwar
राम चन्द्र गिरी,Ram Chandra Giri
खरपतिया,Kharpatiya
बलिया कलां,Baliya Kalan
एसवीर सिंह,Sveer Singh
केदारप्रसाद,Kedarprasad
दुलैहरा,Dulehra
शिवशवरुप,Shivshawarup
बेलसड़,Belsad
रमाकांत त्रिपाठी,Ramakant Tripathi
गांगेपरा,Gangepara
बेलवासुदामा,Belwasudama
सोहनी,Sohni
महमूद मजरा,Mahmud Majra
मनुआ पट्टी,Manua Patti
धनौजी,Dhanauji
रोतियापुर,Rotiyapur
हफुआचतुर्भज,Hafuachaturbhuj
शिवरती,Shivrati
राम सुन्दर यादव,Ram Sundar Yadav
नियॉव,Niyaov
विसरी,Visri
एकडेगवा,Ekdegawa
पटवध कौतुक,Patwadh Kautuk
ब्रह्म्मावती,Brahmavati
खेड़ा टप्पा लावड,Kheda Tappa Lavad
पिपरा मदनगोपाल,Pipra Madangopal
मीसा,Meesa
आशा सोनकर,Asha Sonkar
हुसन जहां,Husan Jahan
मोहम्मद सजीर,Mohammad Sajeer
सुखवीर सिह यादव,Sukhvīr Sih Yādava
गनेशापुर,Ganeshāpura
मोहबतिया बेहड़,Mohabatiyā Behaṛ
पाण्डेयपुर सवन,Pāṇḍeyapura Sawan
कुसार,Kusāra
सुविखा,Suvikhā
कलानी कला,Kalānī Kalā
मटिहनिया चौधरी,Maṭihaniyā Chaudhari
सेमरा बाजार,Semarā Bājāra
आशीष गुर्जर,Āshīsh Gurjara
कोलाझार भजगवां,Kolājāra Bhajagawāṃ
कौशलपुर मंगरा,Kaushalapūra Mangarā
अमरमती,Amarmatī
सरूआ जगली,Sarūā Jagalī
निशा राठौर,Nishā Rāṭhaura
बागड़पुर,Bāgaṛapura
रा जोपुर बहमन,Rā Japura Bahamana
रामजीत पुत्र श्रीराम,Rāmajīta Putra Shrīrāma
शिल्पी सोनी,Shilpī Sonī
आकलाबाद,Ākalābāda
शान्तनू,Shāntanū
सैनुआ,Sainuā
पंकज कुमार जयशवाल,Pankaj Kumāra Jayashvāla
सोनवे,Sonave
कोलावल रायपुर,Kolāvala Rāyapura
सरयूदेई,Sarayūdeī
टीकमपुर,Tīkamaapura
ककराला,Kakarālā
कादिरअली,Kādiraalī
राधेनगर,Rādhanagara
चौकडी,Chaukadī
सोमेन्द्र विक्रम सिंह,Somendra Vikrama Siṃha
पुरैनियाजाट,Purainiyājāṭa
बेलउ चक बेलउ,Belau Chaka Belau
सोन प्रकाश चौबे,Sona Prakāsha Chaube
कुंती चौहान,Kuṃtī Chauhāna
महदानी,Mahadānī
वलीपट्टी रानीगाँव,Valīpaṭṭī Rānīgāँva
पुराभना,Purābhanā
कमाला,Kamalā
सोम्मारू,Sommārū
पिंटू वर्मा,Piṃṭū Varmā
टेकारी,Ṭekārī
एनी खुर्द,Enī Khurd
पहाड़ीकला,Pahāṛīkalā
वन्दरई,Vandarai
अमरूतिया,Amarūtiyā
