Name,Transliterated
गुरप्रीत कुमार,Gurpreet Kumar
लविश खन्‍ना,Lavish Khanna
इश्वेर सिंह,Ishwar Singh
बलविंदर कौर,Balwinder Kaur
रजनी,Rajni
रेखा,Rekha
सुनीता थापा,Sunita Thapa
सोहन सिंह,Sohan Singh
हुक्म चन्द,Hukam Chand
भीम सिंह,Bhim Singh
हरदीप सिंह,Hardeep Singh
मुकेश,Mukesh
शिव कुमार,Shiv Kumar
सरोज शर्मा,Saroj Sharma
पवन कुमार,Pawan Kumar
सरबजीत कौर,Sarabjit Kaur
दीपिका शर्मी,Dipika Sharma
राधा,Radha
जगबीर सिंह,Jagbir Singh
पूजा,Pooja
सुमित शर्मा,Sumit Sharma
अमित शर्मा,Amit Sharma
कर्मजीत कौर,Karamjit Kaur
राम सिंह,Ram Singh
छत्तर पल,Chhatar Pal
पूनम,Poonam
सुखविंदर कौर,Sukhvinder Kaur
काला,Kala
सुमन,Suman
संजय,Sanjay
सतविन्द्र कौर,Satvinder Kaur
सविता,Savita
परविन्‍न्द्र सिंह,Parvinder Singh
सरबजीत सिंह,Sarabjit Singh
जगिंद्रो,Jagindro
अर्वेश,Arvesh
हरनेक सिंह,Harnek Singh
मनजीत कौर,Manjit Kaur
अमर सिंह,Amar Singh
सुरजीत सिंह,Surjit Singh
ज्ञान कौर,Gyan Kaur
रविंदर कौर,Ravinder Kaur
तिरलोक सिंह,Tirlok Singh
सिमरजीत कौर,Simarjit Kaur
नाजिया,Najiya
प्रेमो,Premo
कृष्णा,Krishna
जसपाल सिंह,Jaspal Singh
सोम नाथ,Som Nath
सन्‍्तोष कौर,Santosh Kaur
दर्शाना कौर,Darshana Kaur
बलजीत सिंह,Baljit Singh
हरमिन्द्र कौर,Harminder Kaur
सोनी,Soni
Tag,Tag
सरोज,Saroj
लखबीर सिंह,Lakhbir Singh
रंजित सिंह,Ranjit Singh
बल्‍्वीरो कौर,Baluero Kaur
परमजीत कौर,Paramjit Kaur
स्वर्ण सिंह,Swarna Singh
सुखदेव सिंह,Sukhdev Singh
रानी देवी,Rani Devi
राज रानी,Raj Rani
हरजीत सिंह,Harjit Singh
कमलेश,Kamlesh
बलविंदर सिंह,Balwinder Singh
सुरेंद्र सिंह,Surender Singh
जसवन्त कौर,Jaswant Kaur
रीना,Reena
मोनू,Monu
गुरदेव नाथ,Gurdev Nath
गुरप्रीत सिंह,Gurpreet Singh
परकाश नाथ,Prakash Nath
कुसुम देवी,Kusum Devi
गुरमुख नाथ,Gurmukh Nath
ममता राणी,Mamta Rani
रीना देवी,Reena Devi
राज कुमार,Raj Kumar
देबो,Devo
नरपत सिंह,Narpat Singh
कमलेश कौर,Kamlesh Kaur
रूपा,Roopa
निक्कु,Nikku
पिंकी,Pinky
बलजिंदर कौर,Baljinder Kaur
सुरजीत कौर,Surjit Kaur
सुरिंदर सिंह,Surinder Singh
जीत कौर,Jeet Kaur
कमला,Kamla
रानी,Rani
बलदेव सिंह,Baldev Singh
अजीब सिंह,Ajeeb Singh
रुपिंदर सिंह,Rupinder Singh
रूपा कौर,Roopa Kaur
सिम्रत्पाल कौर,Simratpal Kaur
हरमेश कौर,Harmesh Kaur
मोहब्बत सिंह गिल,Mohabbat Singh Gill
राकेश,Rakesh
अमनदीप कौर,Amandeep Kaur
सुनील,Sunil
गीता,Geeta
मल्ला,Malla
रिन्क्‌,Rink
जसविन्द्र कौर,Jasvinder Kaur
कौशल्या,Kaushalya
लाभ सिंह,Labh Singh
सुरिन्द्र सिंह,Surinder Singh
बलविंदर,Balvinder
दर्शन,Darshan
ऊषा,Usha
रणजीत कौर,Ranjit Kaur
अवतार सिंह,Avtar Singh
राजू,Raju
सोनिया,Sonia
बरिन्द्र सिंह,Barinder Singh
जसबीर सिंह,Jasbir Singh
रवि,Ravi
परदीप सिंह,Pardeep Singh
धर्म पाल,Dharam Pal
नरिंदर कौर,Narinder Kaur
सवरन कौर,Sawarn Kaur
वेद प्रकाश,Ved Prakash
गुरमुख सिंह,Gurmukh Singh
राजेश कुमारी,Rajesh Kumari
मनप्रीत सिंह,Manpreet Singh
हरप्रीत सिंह,Harpreet Singh
सतबीर सिंह,Satbir Singh
कुलजीत कौर,Kuljit Kaur
सुरिंदर कौर,Surender Kaur
दीपक कुमार,Deepak Kumar
कविता,Kavita
मीना रानी,Meena Rani
संजू,Sanju
इंदरजीत मोंगिया,Inderjit Mongia
लाभ कौर,Labh Kaur
कान्ता देवी,Kanata Devi
बलबीर सिंह,Balbir Singh
गुरचरण सिंह,Gurcharan Singh
बलविनन्‍्द्र कौर,Balvinder Kaur
कर्मजीत सिंह,Karamjit Singh
बलविन्द्र कौर,Balvinder Kaur
दलवारा,Dalwara
कुलवंत,Kulwant
संदीप कौर,Sandeep Kaur
जसवंत,Jaswant
आशु,Aashu
बलजीत कौर,Baljit Kaur
केसर सिंह,Kesar Singh
सर्बजीत,Sarabjit
अंग्रेज सिंह,Angrez Singh
मेजर सिंह,Major Singh
राशिन्द्र कौर,Rajinder Kaur
अमरजीत कौर,Amarjit Kaur
गुरमेल सिंह,Gurmel Singh
सतवंत कौर,Satwant Kaur
गुरनाम सिंह,Gurnam Singh
बबली,Babli
मंदीप सिंह,Mandeep Singh
दिलराज सिंह,Dilraj Singh
जंग बहादुर,Jang Bahadur
कृष्णा देवी,Krishna Devi
तेजपाल सिंह,Tejpal Singh
चरन सिंह,Charan Singh
शीला,Sheela
नरिन्‍्द्र कुमार,Narendra Kumar
सरोज बाला,Saroj Bala
सोनीनाथ,Soninath
आशा रानी,Asha Rani
विक्रम,Vikram
संजीव कुमार,Sanjeev Kumar
हरदीप कौर,Hardeep Kaur
मीना,Meena
सागर,Sagar
नीलम वती शर्मा,Neelam Vati Sharma
निशु शर्मा,Nishu Sharma
दीपिका शर्मा,Deepika Sharma
अमरजीत शमी,Amarjit Shami
नसीब सिंह,Nasib Singh
कांता देवी,Kanata Devi
बलविंदर कुमार,Balvinder Kumar
राजपाल राणा,Rajpal Rana
सरोज देवी,Saroj Devi
राज,Raj
राजेश सिंह,Rajesh Singh
निर्मला,Nirmala
गुरप्रीत कोर,Gurpreet Kor
संदीप सिंह,Sandeep Singh
रवि सिंह,Ravi Singh
अरुण,Arun
राजेश कुमार,Rajesh Kumar
जयपाल,Jaipal
गुरनाम कौर,Gurnam Kaur
आरती देवी,Aarti Devi
निक्‍कू कौर,Nikku Kaur
नैन सिंह,Nain Singh
बाला,Bala
रमेश,Ramesh
बेबी,Baby
रणबीर सिंह,Ranbir Singh
Te,Te
राखी,Rakhi
बिंट,Bint
गातम सिंह,Gatam Singh
अनीत कुमार,Aneet Kumar
गुरदेव सिंह,Gurdev Singh
मोहिंदर कौर,Mohinder Kaur
तरलोचन सिंह,Tarlochan Singh
मनदीप कौर,Mandeep Kaur
हरविन्द्र सिंह,Harvinder Singh
सुखदेव राम,Sukhdev Ram
हरफप्रीत कौर,Harpreet Kaur
बलबीर कौर,Balbir Kaur
बहादुर सिंह,Bahadur Singh
सोदागर सिंह,Sodagar Singh
गुरमीत कौर,Gurmeet Kaur
मंजीत सिंह,Manjit Singh
दयाला सिंह,Dayala Singh
शबाब हैदर,Shabab Haider
छोटे कश्यप,Chote Kashyap
शकील हैदर,Shakeel Haider
मोहद सैद,Mohd Said
हरमेश सिंह,Harmresh Singh
इनाम राजा,Inaam Raja
बिन्द्र सिंह,Bindr Singh
शोजब राजा,Shozab Raja
मोहम्मद GUT Sd,Mohammad GUT Sd
सोनू,Sonu
रेखा रानी,Rekha Rani
रीनू देवी,Reenu Devi
जगीरु,Jagiru
दर्शन सिंह,Darshan Singh
अंग्रेजो,Angrejo
सतीश कुमार,Sateesh Kumar
माम चन्द,Maam Chand
सुखविन्द्र कौर,Sukhwindr Kaur
रिंकु,Rinku
Solel HX,Solel HX
नरेश,Naresh
परमिला,Paramila
मोनिका,Monika
रिंक्‌ देवी,Rink Devi
राजेश,Rajesh
गुरमीत सिंह,Gurmeet Singh
अंकित कुमार,Ankit Kumar
विशाल कुमार,Vishal Kumar
पाला,Pala
गुरमेल कौर,Gurmel Kaur
दविन्द्र सिंह,Davinder Singh
जसवीर कौर,Jasvir Kaur
मुक्तारालम,Mukataralam
राजविन्द्र कौर,Rajvindar Kaur
हरजीत कौर,Harjit Kaur
अमोलजित कौर,Amoljit Kaur
मन्जिंदर सिंह,Manjinder Singh
बिमला रानी,Bimla Rani
जसविन्द्र सिंह,Jasvinder Singh
जसपाल कौर,Jaspal Kaur
शिवानी मेहरा,Shivani Mehra
संदीप मेहरा,Sandeep Mehra
प्रेम सिंह,Prem Singh
प्रीतम कौर,Pritam Kaur
मेवा सिंह,Mewa Singh
सुखजीत कौर,Sukhjit Kaur
हरबन्स सिंह,Harbans Singh
रणवीर सिंह,Ranvir Singh
मस्त सिंह,Mast Singh
शाम शेर सिंह,Sham Sher Singh
जोगिन्द्र कौर,Joginder Kaur
आशा,Asha
रिंपी,Rimpi
सपना,Sapna
